Gene symbol,UniProt Accession,Mitochondrial protein annotation type,UniProtKB/Swiss-Prot Annotation,GO_CC Annotation,GO_BP Annotation,PubMed,MitoCarta3.0 Annotation
HMGCL,P35914,Localized,https://www.uniprot.org/uniprotkb/P35914/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
HMGCS2,P54868,Localized,https://www.uniprot.org/uniprotkb/P54868/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
HMGN5,P82970,Localized,,mitochondrion [GO:0005739],,,No
HOGA1,Q86XE5,Localized,https://www.uniprot.org/uniprotkb/Q86XE5/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
HOOK2,Q96ED9,Localized,,,,https://pubmed.ncbi.nlm.nih.gov/27092778/,No
HPDL,Q96IR7,Localized,https://www.uniprot.org/uniprotkb/Q96IR7/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
HSCB,Q8IWL3,Localized,https://www.uniprot.org/uniprotkb/Q8IWL3/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
HSD17B10,Q99714,Localized,https://www.uniprot.org/uniprotkb/Q99714/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrial ribonuclease P complex [GO:0030678]; mitochondrion [GO:0005739],,,Yes
HSD17B4,P51659,Localized,,,,,Yes
HSD3B2,P26439,Localized,https://www.uniprot.org/uniprotkb/P26439/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial membrane [GO:0031966],,,No
HSP90AA1,P07900,Localized,https://www.uniprot.org/uniprotkb/P07900/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
HSPA9,P38646,Localized,https://www.uniprot.org/uniprotkb/P38646/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; SAM complex [GO:0001401]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744],,,Yes
HSPD1,P10809,Localized,https://www.uniprot.org/uniprotkb/P10809/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
HSPE1,P61604,Localized,https://www.uniprot.org/uniprotkb/P61604/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
HTRA2,O43464,Localized,https://www.uniprot.org/uniprotkb/O43464/entry#subcellular_location ,mitochondrial intermembrane space [GO:0005758]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,Yes
HUWE1,Q7Z6Z7,Localized,https://www.uniprot.org/uniprotkb/Q7Z6Z7/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
IARS2,Q9NSE4,Localized,https://www.uniprot.org/uniprotkb/Q9NSE4/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
IBA57,Q5T440,Localized,https://www.uniprot.org/uniprotkb/Q5T440/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
IDH2,P48735,Localized,https://www.uniprot.org/uniprotkb/P48735/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
IDH3A,P50213,Localized,https://www.uniprot.org/uniprotkb/P50213/entry#subcellular_location ,mitochondrial isocitrate dehydrogenase complex (NAD+) [GO:0005962]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
IDH3B,O43837,Localized,https://www.uniprot.org/uniprotkb/O43837/entry#subcellular_location ,mitochondrial isocitrate dehydrogenase complex (NAD+) [GO:0005962]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
IFIH1,Q9BYX4,Localized,https://www.uniprot.org/uniprotkb/Q9BYX4/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
IMMP1L,Q96LU5,Localized,https://www.uniprot.org/uniprotkb/Q96LU5/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial inner membrane peptidase complex [GO:0042720]; mitochondrion [GO:0005739],,,Yes
IMMP2L,Q96T52,Localized,https://www.uniprot.org/uniprotkb/Q96T52/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial inner membrane peptidase complex [GO:0042720],,,Yes
IMMT,Q16891,Localized,https://www.uniprot.org/uniprotkb/Q16891/entry#subcellular_location ,membrane [GO:0016020]; MIB complex [GO:0140275]; MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; SAM complex [GO:0001401],,,Yes
IREB2,P48200,Localized,,mitochondrion [GO:0005739],,,No
ISCA1,Q9BUE6,Localized,https://www.uniprot.org/uniprotkb/Q9BUE6/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ISCA2,Q86U28,Localized,https://www.uniprot.org/uniprotkb/Q86U28/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ISCU,Q9H1K1,Localized,https://www.uniprot.org/uniprotkb/Q9H1K1/entry#subcellular_location ,mitochondrial iron-sulfur cluster assembly complex [GO:0099128]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
IVD,P26440,Localized,https://www.uniprot.org/uniprotkb/P26440/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
KANK2,Q63ZY3,Localized,https://www.uniprot.org/uniprotkb/Q63ZY3/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
KARS1,Q15046,Localized,https://www.uniprot.org/uniprotkb/Q15046/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
KHDC3L,Q587J8,Localized,https://www.uniprot.org/uniprotkb/Q587J8/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
KIF1B,O60333,Localized,https://www.uniprot.org/uniprotkb/O60333/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
L2HGDH,Q9H9P8,Localized,https://www.uniprot.org/uniprotkb/Q9H9P8/entry#subcellular_location ,membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
LARS2,Q15031,Localized,https://www.uniprot.org/uniprotkb/Q15031/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
LDHA,P00338,Localized,,mitochondrion [GO:0005739],,,No
LDHB,P07195,Localized,https://www.uniprot.org/uniprotkb/P07195/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
LDHD,Q86WU2,Localized,https://www.uniprot.org/uniprotkb/Q86WU2/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
LETM1,O95202,Localized,https://www.uniprot.org/uniprotkb/O95202/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
LIAS,O43766,Localized,https://www.uniprot.org/uniprotkb/O43766/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
LIG3,P49916,Localized,https://www.uniprot.org/uniprotkb/P49916/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
LIPT1,Q9Y234,Localized,https://www.uniprot.org/uniprotkb/Q9Y234/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
LIPT2,A6NK58,Localized,https://www.uniprot.org/uniprotkb/A6NK58/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
LONP1,P36776,Localized,https://www.uniprot.org/uniprotkb/P36776/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739],,,Yes
LRPPRC,P42704,Localized,https://www.uniprot.org/uniprotkb/P42704/entry#subcellular_location ,mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739],,,Yes
LRRK2,Q5S007,Localized,https://www.uniprot.org/uniprotkb/Q5S007/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,No
LYRM4,Q9HD34,Localized,https://www.uniprot.org/uniprotkb/Q9HD34/entry#subcellular_location ,mitochondrial iron-sulfur cluster assembly complex [GO:0099128]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
LYRM7,Q5U5X0,Localized,https://www.uniprot.org/uniprotkb/Q5U5X0/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966],,,Yes
MAOA,P21397,Localized,https://www.uniprot.org/uniprotkb/P21397/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
MAOB,P27338,Localized,https://www.uniprot.org/uniprotkb/P27338/entry#subcellular_location ,mitochondrial envelope [GO:0005740]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
MAP2K1,Q02750,Localized,,mitochondrion [GO:0005739],,,No
MAPT,P10636,Localized,,mitochondrion [GO:0005739],,,No
MARS2,Q96GW9,Localized,https://www.uniprot.org/uniprotkb/Q96GW9/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,Yes
MAVS,Q7Z434,Localized,https://www.uniprot.org/uniprotkb/Q7Z434/entry#subcellular_location ,mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
MBTPS1,Q14703,Associated/ancillary,,,,https://pubmed.ncbi.nlm.nih.gov/35362222/,No
MCAT,Q8IVS2,Localized,https://www.uniprot.org/uniprotkb/Q8IVS2/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
MCCC1,Q96RQ3,Localized,https://www.uniprot.org/uniprotkb/Q96RQ3/entry#subcellular_location ,"3-methylcrotonyl-CoA carboxylase complex, mitochondrial [GO:0002169]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]",,,Yes
MCCC2,Q9HCC0,Localized,https://www.uniprot.org/uniprotkb/Q9HCC0/entry#subcellular_location ,"3-methylcrotonyl-CoA carboxylase complex, mitochondrial [GO:0002169]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]",,,Yes
MCEE,Q96PE7,Localized,https://www.uniprot.org/uniprotkb/Q96PE7/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,Yes
MDH2,P40926,Localized,https://www.uniprot.org/uniprotkb/P40926/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
ME2,P23368,Localized,https://www.uniprot.org/uniprotkb/P23368/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
MECR,Q9BV79,Localized,https://www.uniprot.org/uniprotkb/Q9BV79/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
METTL5,Q9NRN9,Localized,,,,,Yes
MFF,Q9GZY8,Localized,https://www.uniprot.org/uniprotkb/Q9GZY8/entry#subcellular_location ,mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
MFN1,Q8IWA4,Localized,https://www.uniprot.org/uniprotkb/Q8IWA4/entry#subcellular_location ,membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; outer mitochondrial membrane protein complex [GO:0098799],,,Yes
MFN2,O95140,Localized,https://www.uniprot.org/uniprotkb/O95140/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
MGME1,Q9BQP7,Localized,https://www.uniprot.org/uniprotkb/Q9BQP7/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
MGST1,P10620,Localized,https://www.uniprot.org/uniprotkb/P10620/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
MICOS13,Q5XKP0,Localized,https://www.uniprot.org/uniprotkb/Q5XKP0/entry#subcellular_location ,MIB complex [GO:0140275]; MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; SAM complex [GO:0001401],,,Yes
MICU1,Q9BPX6,Localized,https://www.uniprot.org/uniprotkb/Q9BPX6/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739],,,Yes
MICU2,Q8IYU8,Localized,https://www.uniprot.org/uniprotkb/Q8IYU8/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739],,,Yes
MIEF1,Q9NQG6,Localized,https://www.uniprot.org/uniprotkb/Q9NQG6/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
MIEF2,Q96C03,Localized,https://www.uniprot.org/uniprotkb/Q96C03/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,Yes
MIPEP,Q99797,Localized,https://www.uniprot.org/uniprotkb/Q99797/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
MLKL,Q8NB16,Localized,,,,https://pubmed.ncbi.nlm.nih.gov/27092778/,No
MLYCD,O95822,Localized,https://www.uniprot.org/uniprotkb/O95822/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
MMAA,Q8IVH4,Localized,https://www.uniprot.org/uniprotkb/Q8IVH4/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
MMAB,Q96EY8,Localized,https://www.uniprot.org/uniprotkb/Q96EY8/entry#subcellular_location ,mitochondrial matrix [GO:0005759],,,Yes
MMADHC,Q9H3L0,Localized,https://www.uniprot.org/uniprotkb/Q9H3L0/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
MMP2,P08253,Localized,https://www.uniprot.org/uniprotkb/P08253/entry#subcellular_location ,mitochondrion [GO:0005739],,,No
MMUT,P22033,Localized,https://www.uniprot.org/uniprotkb/P22033/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
MOCS1,Q9NZB8,Localized,,,,,Yes
MPC1,Q9Y5U8,Localized,https://www.uniprot.org/uniprotkb/Q9Y5U8/entry#subcellular_location ,inner mitochondrial membrane protein complex [GO:0098800]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
MPV17,P39210,Localized,https://www.uniprot.org/uniprotkb/P39210/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739],,,Yes
MRM2,Q9UI43,Localized,https://www.uniprot.org/uniprotkb/Q9UI43/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
MRPL11,Q9Y3B7,Localized,https://www.uniprot.org/uniprotkb/Q9Y3B7/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739],,,Yes
MRPL12,P52815,Localized,https://www.uniprot.org/uniprotkb/P52815/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
MRPL13,Q9BYD1,Localized,https://www.uniprot.org/uniprotkb/Q9BYD1/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739],,,Yes
MRPL15,Q9P015,Localized,https://www.uniprot.org/uniprotkb/Q9P015/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739],,,Yes
MRPL24,Q96A35,Localized,https://www.uniprot.org/uniprotkb/Q96A35/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739],,,Yes
MRPL27,Q9P0M9,Localized,https://www.uniprot.org/uniprotkb/Q9P0M9/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739],,,Yes
MRPL3,P09001,Localized,https://www.uniprot.org/uniprotkb/P09001/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739],,,Yes
MRPL34,Q9BQ48,Localized,https://www.uniprot.org/uniprotkb/Q9BQ48/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739],,,Yes
MRPL37,Q9BZE1,Localized,https://www.uniprot.org/uniprotkb/Q9BZE1/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739],,,Yes
MRPL4,Q9BYD3,Localized,https://www.uniprot.org/uniprotkb/Q9BYD3/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739],,,Yes
MRPL44,Q9H9J2,Localized,https://www.uniprot.org/uniprotkb/Q9H9J2/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739],,,Yes
MRPL45,Q9BRJ2,Localized,https://www.uniprot.org/uniprotkb/Q9BRJ2/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739],,,No
MRPL46,Q9H2W6,Localized,https://www.uniprot.org/uniprotkb/Q9H2W6/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739],,,Yes
MRPL48,Q96GC5,Localized,https://www.uniprot.org/uniprotkb/Q96GC5/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739],,,Yes
MRPL49,Q13405,Localized,https://www.uniprot.org/uniprotkb/Q13405/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739],,,Yes
MRPL50,Q8N5N7,Localized,https://www.uniprot.org/uniprotkb/Q8N5N7/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739],,,Yes
MRPL55,Q7Z7F7,Localized,https://www.uniprot.org/uniprotkb/Q7Z7F7/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739],,,Yes
MRPS14,O60783,Localized,https://www.uniprot.org/uniprotkb/O60783/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial ribosome [GO:0005761]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739],,,Yes
MRPS16,Q9Y3D3,Localized,https://www.uniprot.org/uniprotkb/Q9Y3D3/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739],,,Yes
MRPS17,Q9Y2R5,Localized,https://www.uniprot.org/uniprotkb/Q9Y2R5/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763],,,Yes
MRPS18B,Q9Y676,Localized,https://www.uniprot.org/uniprotkb/Q9Y676/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739],,,Yes
MRPS2,Q9Y399,Localized,https://www.uniprot.org/uniprotkb/Q9Y399/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739],,,Yes
MRPS22,P82650,Localized,https://www.uniprot.org/uniprotkb/P82650/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial ribosome [GO:0005761]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739],,,Yes
MRPS23,Q9Y3D9,Localized,https://www.uniprot.org/uniprotkb/Q9Y3D9/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739],,,Yes
MRPS25,P82663,Localized,https://www.uniprot.org/uniprotkb/P82663/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739],,,Yes
MRPS28,Q9Y2Q9,Localized,https://www.uniprot.org/uniprotkb/Q9Y2Q9/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739],,,Yes
MRPS30,Q9NP92,Localized,https://www.uniprot.org/uniprotkb/Q9NP92/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739],,,Yes
MRPS31,Q92665,Localized,https://www.uniprot.org/uniprotkb/Q92665/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739],,,Yes
MRPS34,P82930,Localized,https://www.uniprot.org/uniprotkb/P82930/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739],,,Yes
MRPS35,P82673,Localized,https://www.uniprot.org/uniprotkb/P82673/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763],,,Yes
MRPS5,P82675,Localized,https://www.uniprot.org/uniprotkb/P82675/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739],,,Yes
MRPS7,Q9Y2R9,Localized,https://www.uniprot.org/uniprotkb/Q9Y2R9/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763],,,Yes
MSRB3,Q8IXL7,Localized,https://www.uniprot.org/uniprotkb/Q8IXL7/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
MSTO1,Q9BUK6,Localized,https://www.uniprot.org/uniprotkb/Q9BUK6/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],,,No
MT-ATP6,P00846,Localized,https://www.uniprot.org/uniprotkb/P00846/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]",,,Yes
MT-ATP8,P03928,Localized,https://www.uniprot.org/uniprotkb/P03928/entry#subcellular_location ,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]",,,Yes
MT-CO1,P00395,Localized,https://www.uniprot.org/uniprotkb/P00395/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrial respiratory chain complex IV [GO:0005751]; respiratory chain complex IV [GO:0045277],,,Yes
MT-CO2,P00403,Localized,https://www.uniprot.org/uniprotkb/P00403/entry#subcellular_location ,membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277],,,Yes
MT-CO3,P00414,Localized,https://www.uniprot.org/uniprotkb/P00414/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; respiratory chain complex IV [GO:0045277],,,Yes
MT-CYB,P00156,Localized,https://www.uniprot.org/uniprotkb/P00156/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739],,,Yes
MTFMT,Q96DP5,Localized,https://www.uniprot.org/uniprotkb/Q96DP5/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
MTHFD2,P13995,Localized,https://www.uniprot.org/uniprotkb/P13995/entry#subcellular_location ,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
MTHFS,P49914,Localized,,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,,Yes
MTIF2,P46199,Localized,https://www.uniprot.org/uniprotkb/P46199/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
MTIF3,Q9H2K0,Localized,https://www.uniprot.org/uniprotkb/Q9H2K0/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
MT-ND1,P03886,Localized,https://www.uniprot.org/uniprotkb/P03886/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
MT-ND2,P03891,Localized,https://www.uniprot.org/uniprotkb/P03891/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
MT-ND3,P03897,Localized,https://www.uniprot.org/uniprotkb/P03897/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
MT-ND4,P03905,Localized,https://www.uniprot.org/uniprotkb/P03905/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
MT-ND4L,P03901,Localized,https://www.uniprot.org/uniprotkb/P03901/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
MT-ND5,P03915,Localized,https://www.uniprot.org/uniprotkb/P03915/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747],,,Yes
MT-ND6,P03923,Localized,https://www.uniprot.org/uniprotkb/P03923/entry#subcellular_location ,mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739],,,Yes
MTO1,Q9Y2Z2,Localized,https://www.uniprot.org/uniprotkb/Q9Y2Z2/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
MTOR,P42345,Localized,https://www.uniprot.org/uniprotkb/P42345/entry#subcellular_location ,mitochondrial outer membrane [GO:0005741],,,No
MTPAP,Q9NVV4,Localized,https://www.uniprot.org/uniprotkb/Q9NVV4/entry#subcellular_location ,mitochondrion [GO:0005739],,,Yes
